date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:12:15	10385/10385	---M--	200	added ('OK')	image/png	etag:%22639ed280-2891%22	https://themewagon.github.io/majestic-2/v1.0.0/assets/img/gallery/sunglass-7.png	C:/My%20Web%20Sites/demo/themewagon.github.io/majestic-2/v1.0.0/assets/img/gallery/sunglass-7.png	(from https://themewagon.github.io/majestic-2/v1.0.0/)
17:12:15	11017/11017	---M--	200	added ('OK')	image/png	etag:%22639ed280-2b09%22	https://themewagon.github.io/majestic-2/v1.0.0/assets/img/gallery/sunglass-8.png	C:/My%20Web%20Sites/demo/themewagon.github.io/majestic-2/v1.0.0/assets/img/gallery/sunglass-8.png	(from https://themewagon.github.io/majestic-2/v1.0.0/)
17:12:15	34300/34300	---M--	200	added ('OK')	image/png	etag:%22639ed280-85fc%22	https://themewagon.github.io/majestic-2/v1.0.0/assets/img/gallery/bagpacks-5.png	C:/My%20Web%20Sites/demo/themewagon.github.io/majestic-2/v1.0.0/assets/img/gallery/bagpacks-5.png	(from https://themewagon.github.io/majestic-2/v1.0.0/)
17:12:15	34773/34773	---M--	200	added ('OK')	image/png	etag:%22639ed280-87d5%22	https://themewagon.github.io/majestic-2/v1.0.0/assets/img/gallery/bagpacks-6.png	C:/My%20Web%20Sites/demo/themewagon.github.io/majestic-2/v1.0.0/assets/img/gallery/bagpacks-6.png	(from https://themewagon.github.io/majestic-2/v1.0.0/)
17:12:16	37928/37928	---M--	200	added ('OK')	image/png	etag:%22639ed280-9428%22	https://themewagon.github.io/majestic-2/v1.0.0/assets/img/gallery/bagpacks-7.png	C:/My%20Web%20Sites/demo/themewagon.github.io/majestic-2/v1.0.0/assets/img/gallery/bagpacks-7.png	(from https://themewagon.github.io/majestic-2/v1.0.0/)
17:12:16	34469/34469	---M--	200	added ('OK')	image/png	etag:%22639ed280-86a5%22	https://themewagon.github.io/majestic-2/v1.0.0/assets/img/gallery/bagpacks-8.png	C:/My%20Web%20Sites/demo/themewagon.github.io/majestic-2/v1.0.0/assets/img/gallery/bagpacks-8.png	(from https://themewagon.github.io/majestic-2/v1.0.0/)
17:12:17	233245/233245	---M--	200	added ('OK')	image/png	etag:%22639ed280-38f1d%22	https://themewagon.github.io/majestic-2/v1.0.0/assets/img/gallery/urban.png	C:/My%20Web%20Sites/demo/themewagon.github.io/majestic-2/v1.0.0/assets/img/gallery/urban.png	(from https://themewagon.github.io/majestic-2/v1.0.0/)
17:12:17	162979/162979	---M--	200	added ('OK')	image/png	etag:%22639ed280-27ca3%22	https://themewagon.github.io/majestic-2/v1.0.0/assets/img/gallery/country.png	C:/My%20Web%20Sites/demo/themewagon.github.io/majestic-2/v1.0.0/assets/img/gallery/country.png	(from https://themewagon.github.io/majestic-2/v1.0.0/)
17:12:17	32371/32371	---M--	200	added ('OK')	image/png	etag:%22639ed280-7e73%22	https://themewagon.github.io/majestic-2/v1.0.0/assets/img/gallery/handbag.png	C:/My%20Web%20Sites/demo/themewagon.github.io/majestic-2/v1.0.0/assets/img/gallery/handbag.png	(from https://themewagon.github.io/majestic-2/v1.0.0/)
17:12:17	20318/20318	---M--	200	added ('OK')	image/png	etag:%22639ed280-4f5e%22	https://themewagon.github.io/majestic-2/v1.0.0/assets/img/gallery/earrings.png	C:/My%20Web%20Sites/demo/themewagon.github.io/majestic-2/v1.0.0/assets/img/gallery/earrings.png	(from https://themewagon.github.io/majestic-2/v1.0.0/)
17:12:18	22224/22224	---M--	200	added ('OK')	image/png	etag:%22639ed280-56d0%22	https://themewagon.github.io/majestic-2/v1.0.0/assets/img/gallery/lathered-wristwatch.png	C:/My%20Web%20Sites/demo/themewagon.github.io/majestic-2/v1.0.0/assets/img/gallery/lathered-wristwatch.png	(from https://themewagon.github.io/majestic-2/v1.0.0/)
17:12:18	15914/15914	---M--	200	added ('OK')	image/png	etag:%22639ed280-3e2a%22	https://themewagon.github.io/majestic-2/v1.0.0/assets/img/gallery/tie.png	C:/My%20Web%20Sites/demo/themewagon.github.io/majestic-2/v1.0.0/assets/img/gallery/tie.png	(from https://themewagon.github.io/majestic-2/v1.0.0/)
17:12:18	189512/189512	---M--	200	added ('OK')	image/png	etag:%22639ed280-2e448%22	https://themewagon.github.io/majestic-2/v1.0.0/assets/img/gallery/summer.png	C:/My%20Web%20Sites/demo/themewagon.github.io/majestic-2/v1.0.0/assets/img/gallery/summer.png	(from https://themewagon.github.io/majestic-2/v1.0.0/)
17:12:19	55371/55371	---M--	200	added ('OK')	image/png	etag:%22639ed280-d84b%22	https://themewagon.github.io/majestic-2/v1.0.0/assets/img/gallery/sunglasses.png	C:/My%20Web%20Sites/demo/themewagon.github.io/majestic-2/v1.0.0/assets/img/gallery/sunglasses.png	(from https://themewagon.github.io/majestic-2/v1.0.0/)
17:12:19	115851/115851	---M--	200	added ('OK')	image/png	etag:%22639ed280-1c48b%22	https://themewagon.github.io/majestic-2/v1.0.0/assets/img/gallery/footwear.png	C:/My%20Web%20Sites/demo/themewagon.github.io/majestic-2/v1.0.0/assets/img/gallery/footwear.png	(from https://themewagon.github.io/majestic-2/v1.0.0/)
17:12:19	100962/100962	---M--	200	added ('OK')	image/png	etag:%22639ed280-18a62%22	https://themewagon.github.io/majestic-2/v1.0.0/assets/img/gallery/hat-black-border.png	C:/My%20Web%20Sites/demo/themewagon.github.io/majestic-2/v1.0.0/assets/img/gallery/hat-black-border.png	(from https://themewagon.github.io/majestic-2/v1.0.0/)
